circuitId,name,country,length_km,n_corners,drs_zones,lap_record_s,circuit_type
1,Albert Park Grand Prix Circuit,Australia,5.278,16,4,85.013,permanent
3,Bahrain International Circuit,Bahrain,5.412,15,3,91.447,permanent
4,Circuit de Barcelona-Catalunya,Spain,4.675,16,2,79.082,permanent
5,Istanbul Park,Turkey,5.338,14,2,87.433,permanent
6,Circuit de Monaco,Monaco,3.337,19,1,71.382,street
7,Circuit Gilles Villeneuve,Canada,4.361,14,2,73.078,street
9,Silverstone Circuit,UK,5.891,18,2,87.097,permanent
10,Hockenheimring,Germany,4.574,17,2,79.074,permanent
11,Hungaroring,Hungary,4.381,14,1,76.627,permanent
13,Circuit de Spa-Francorchamps,Belgium,7.004,20,2,106.286,permanent
14,Autodromo Nazionale di Monza,Italy,5.793,11,2,79.818,permanent
15,Marina Bay Street Circuit,Singapore,4.940,23,3,99.271,street
17,Shanghai International Circuit,China,5.451,16,2,91.803,permanent
18,Autódromo José Carlos Pace,Brazil,4.309,15,2,71.044,permanent
20,Nürburgring,Germany,5.148,15,1,82.803,permanent
21,Autodromo Enzo e Dino Ferrari,Italy,4.909,17,1,75.484,permanent
22,Suzuka Circuit,Japan,5.807,18,1,90.983,permanent
24,Yas Marina Circuit,UAE,5.281,16,2,84.108,permanent
32,Autódromo Hermanos Rodríguez,Mexico,4.304,17,2,79.118,permanent
34,Circuit Paul Ricard,France,5.842,15,2,92.740,permanent
39,Circuit Park Zandvoort,Netherlands,4.259,14,2,72.097,permanent
69,Circuit of the Americas,USA,5.513,20,2,95.025,permanent
70,Red Bull Ring,Austria,4.318,10,3,64.984,permanent
71,Sochi Autodrom,Russia,5.848,18,2,94.634,street
73,Baku City Circuit,Azerbaijan,6.003,20,2,103.009,street
75,Autódromo Internacional do Algarve,Portugal,4.684,15,2,80.882,permanent
76,Autodromo Internazionale del Mugello,Italy,5.245,15,1,83.017,permanent
77,Jeddah Corniche Circuit,Saudi Arabia,6.174,27,3,73.811,street
78,Losail International Circuit,Qatar,5.380,16,2,83.196,permanent
79,Miami International Autodrome,USA,5.412,19,3,90.135,street
80,Las Vegas Strip Street Circuit,USA,6.201,17,2,93.418,street
